time,ax_raw,ay_raw,az_raw,ax,ay,az,gx,gy,gz
0.001755,-0.018561,-0.746049,10.050699,-0.002516,0.003078,0.001102,0.061035,0.000000,0.030518
0.011849,-0.026944,-0.753832,10.045311,-0.010898,-0.004706,-0.004286,0.030518,-0.030518,0.030518
0.021949,-0.028740,-0.754431,10.047706,-0.012694,-0.005305,-0.001891,0.030518,-0.030518,0.000000
0.032047,-0.022154,-0.758024,10.050699,-0.006108,-0.008897,0.001102,0.030518,-0.030518,0.000000
0.042145,-0.020956,-0.756826,10.049502,-0.004911,-0.007700,-0.000095,0.061035,-0.030518,0.030518
0.052241,-0.025148,-0.756227,10.045311,-0.009102,-0.007101,-0.004286,0.061035,-0.030518,0.030518
0.062336,-0.027543,-0.759221,10.050101,-0.011497,-0.010095,0.000504,0.061035,0.000000,0.030518
0.072434,-0.030536,-0.759820,10.044712,-0.014491,-0.010694,-0.004885,0.030518,0.061035,0.000000
0.082520,-0.022753,-0.750839,10.058483,-0.006707,-0.001712,0.008886,0.000000,0.030518,0.030518
0.092603,-0.025746,-0.751437,10.063872,-0.009701,-0.002311,0.014275,0.000000,0.000000,0.030518
0.102689,-0.022154,-0.752635,10.062076,-0.006108,-0.003509,0.012479,0.000000,0.030518,0.061035
0.112774,-0.023351,-0.744252,10.058483,-0.007306,0.004874,0.008886,0.000000,0.030518,0.030518
0.122859,-0.023950,-0.750240,10.059681,-0.007904,-0.001114,0.010084,0.000000,0.061035,0.030518
0.132944,-0.018561,-0.747246,10.062675,-0.002516,0.001880,0.013078,0.030518,0.030518,0.061035
0.143029,-0.016166,-0.752635,10.061477,-0.000120,-0.003509,0.011880,0.061035,0.030518,0.061035
0.153115,-0.017364,-0.749641,10.053094,-0.001318,-0.000515,0.003497,0.061035,0.030518,0.061035
0.163200,-0.012574,-0.750240,10.043514,0.003472,-0.001114,-0.006083,0.061035,0.061035,0.061035
0.173285,-0.005988,-0.743654,10.048304,0.010058,0.005473,-0.001293,0.061035,0.061035,0.061035
0.183380,-0.005389,-0.748444,10.054292,0.010657,0.000683,0.004695,0.030518,0.061035,0.061035
0.193478,-0.011975,-0.742456,10.050699,0.004071,0.006670,0.001102,0.030518,0.030518,0.030518
0.203574,-0.009580,-0.740660,10.045311,0.006466,0.008466,-0.004286,0.030518,0.030518,0.030518
0.213672,-0.014370,-0.741857,10.045311,0.001676,0.007269,-0.004286,0.030518,0.030518,0.030518
0.223770,-0.016765,-0.738265,10.053094,-0.000719,0.010861,0.003497,0.030518,0.030518,0.061035
0.233868,-0.016765,-0.740061,10.056687,-0.000719,0.009065,0.007090,0.030518,0.030518,0.061035
