Tau (s),AD_ax (m/s),AD_ay (m/s),AD_az (m/s)
0.007035017013549805,0.002439215074814475,0.0023884502219891335,0.002824489631922242
0.01407003402709961,0.002838594685619451,0.002737425987942472,0.0035018656818310485
0.021105051040649414,0.0031661438147331123,0.0030356448155782934,0.003772104886379219
0.02814006805419922,0.003386190191531227,0.003258714836926317,0.0036988926897776704
0.03517508506774902,0.003525733182318908,0.0034190893885179007,0.0035660797855066447
0.04221010208129883,0.0036071583437060385,0.0035232943118897425,0.003499336701423269
0.04924511909484863,0.0036507304735843077,0.0035838599208631917,0.003461486762983588
0.05628013610839844,0.00366787589671568,0.0036111901079302652,0.0034345829346821813
0.06331515312194824,0.0036657164792433406,0.0036144267107360195,0.0034378150514011246
0.07035017013549805,0.0036488152905818105,0.0036021173394165324,0.0034463149803364086
0.07738518714904785,0.003621516267254264,0.003578299670894733,0.003426484356433946
0.08442020416259766,0.0035864995523273587,0.0035460513549797914,0.0033931867462759367
0.09145522117614746,0.0035457653113067722,0.003508680863933477,0.003372749351604665
0.09849023818969727,0.0035013427074605356,0.0034687790908682257,0.0033650927731321834
0.10552525520324707,0.0034553446906127466,0.003428323849192389,0.0033626532259561867
0.11256027221679688,0.003408765951641539,0.003388434361696768,0.003362997722698064
0.11959528923034668,0.0033619843646103056,0.0033497443675382385,0.0033547943128301484
0.12663030624389648,0.0033159130147318574,0.0033123925316855297,0.0033301097673247957
0.1336653232574463,0.0032710524195438636,0.0032761536454273352,0.0032992850227684905
0.1407003402709961,0.003227765752532737,0.003240882792504362,0.00327442508250348
0.1477353572845459,0.003186344330727271,0.0032065988154406314,0.0032561586409924365
0.1547703742980957,0.003146704067173581,0.0031731095232007548,0.003242030999967345
0.1618053913116455,0.0031088555720639034,0.0031404544248497257,0.0032314638430378604
0.1688404083251953,0.0030726672541635356,0.0031086364824895432,0.0032207798176358553
0.17587542533874512,0.0030380537807710296,0.0030775181437484745,0.003207454384714699
0.18994545936584473,0.002972633674606125,0.0030158873243165477,0.003181911758378724
0.19698047637939453,0.002941379155875059,0.002984965589018315,0.0031700261019680376
0.20401549339294434,0.002910673306896911,0.0029539678800847564,0.0031569421888451295
0.21105051040649414,0.0028804702609887298,0.002923034860769665,0.0031439513101395714
0.22512054443359375,0.0028214865432924763,0.002862098031724104,0.003117164764665303
0.23215556144714355,0.00279320431271938,0.0028321493481611097,0.0031042529202848414
0.24622559547424316,0.002739598603691185,0.0027734606790589967,0.003084525742042981
0.25326061248779297,0.0027143684133100502,0.002744972795678393,0.0030777287995241327
0.2673306465148926,0.002666724688119053,0.002689855650212025,0.003068141781060807
0.2814006805419922,0.002621407614390369,0.002637117726023651,0.003055181170529362
0.288435697555542,0.002599336337414271,0.0026115224506035764,0.003048662146970516
0.3025057315826416,0.00255643250719952,0.002562014989798945,0.0030398875525811516
0.3165757656097412,0.0025151481623819564,0.0025146180292267423,0.0030357488332708607
0.3306457996368408,0.0024757944740512387,0.0024691800083532817,0.0030321623594478666
0.35175085067749023,0.0024200761967968303,0.002405359699402163,0.0030342209254988284
0.36582088470458984,0.0023841313717522087,0.0023664992253007726,0.0030365902282998166
0.37989091873168945,0.0023490507067394748,0.0023308120837150104,0.003039252068696551
0.40099596977233887,0.0022996014246623917,0.0022830629676859177,0.0030499979047559165
0.4150660037994385,0.00226917728467951,0.0022549532083991474,0.0030602514832769197
0.4361710548400879,0.0022263883668804775,0.002216881554334761,0.0030769329293557114
0.4572761058807373,0.002186817111307218,0.0021820487927567086,0.0030942691006511443
0.4783811569213867,0.0021498049167643857,0.002149565643165682,0.0031135400715775006
0.49948620796203613,0.0021143585022759277,0.002119018946285962,0.00313525325495963
0.5205912590026855,0.002080795498422092,0.002090402407018449,0.0031569375979709434
0.5487313270568848,0.002039672450158681,0.002055904487965427,0.003184796557231399
0.5698363780975342,0.002011643838635486,0.002033280048546435,0.003206881339433761
0.5979764461517334,0.0019766341935701886,0.002006947400487023,0.0032376942620105276
0.6261165142059326,0.0019448164191994298,0.0019833729931186517,0.003268384487786557
0.6542565822601318,0.0019159333368792971,0.0019623704643610463,0.0033002490907675978
0.682396650314331,0.001890237076853466,0.0019437406742467342,0.003331463174946322
0.7175717353820801,0.0018629028036691495,0.0019230248376201579,0.003369390580165486
0.7527468204498291,0.0018411424732886587,0.0019054736447067626,0.00340763474821976
0.7808868885040283,0.0018262454422853815,0.0018930363414437234,0.0034377090339227623
0.8230969905853271,0.00180555901058544,0.001874327206118123,0.0034842001383734887
0.8582720756530762,0.001790532055718396,0.0018583484696609925,0.0035223716122553795
0.900482177734375,0.0017740878266795396,0.001839927070230852,0.0035682443270913843
0.935657262802124,0.0017617922179441684,0.001825950371856793,0.0036047639103531023
0.9849023818969727,0.0017476631372139537,0.0018070023418579988,0.0036547894623637093
1.0271124839782715,0.001736483594277158,0.0017912304907893666,0.0036957647180614174
1.0763576030731201,0.0017243638098603565,0.0017729435690397469,0.003741119993844288
1.1256027221679688,0.0017132540779135274,0.0017549150584580634,0.0037825209662941243
1.1748478412628174,0.0017037238787102203,0.0017370696940651321,0.0038197798026881496
1.2311279773712158,0.0016940133833756388,0.0017169145172231056,0.003857285145514103
1.2874081134796143,0.0016840208265905695,0.001699201480848975,0.0038892680326382033
1.3507232666015625,0.0016703804043033618,0.001681764287154742,0.003918912672065557
1.407003402709961,0.0016561113711895815,0.0016671243237716567,0.003939927936733539
1.477353572845459,0.0016370985567184639,0.0016478824272758848,0.003958575591346246
1.5406687259674072,0.0016196588853678105,0.0016292573877912445,0.003967617910258634
1.6110188961029053,0.0016016222867783105,0.0016108377127759632,0.0039701524604412435
1.6884040832519531,0.0015825366672571383,0.0015947203673702243,0.003966041083626847
1.765789270401001,0.0015657760907870006,0.0015824480279040512,0.003955564297002789
1.8502094745635986,0.001547183464672869,0.0015682467454549676,0.003937610391075572
1.9346296787261963,0.0015260794159771812,0.001555570401929074,0.003914020923101944
2.0260848999023438,0.0015024948462804813,0.0015445533539888109,0.003881484930612582
2.117540121078491,0.0014789196182662713,0.0015353168392271902,0.0038459032302253318
2.2160303592681885,0.0014534505054703737,0.0015251290011070676,0.0038054598596916904
2.3145205974578857,0.001427919449920683,0.0015153922939987329,0.0037623586849992556
2.4270808696746826,0.0013977520067552836,0.0015059429953414776,0.0037105734216198
2.5396411418914795,0.0013661591776940622,0.0014961113938397558,0.003658276294200609
2.6522014141082764,0.001336481613015259,0.0014856165109080547,0.0036063703442043233
2.778831720352173,0.0013065319552677107,0.0014747638162356475,0.0035495987283337186
2.9054620265960693,0.0012763016426756574,0.001464147021352213,0.0034946964088137557
3.0391273498535156,0.0012453403170607203,0.0014556852737813576,0.0034383557488508153
3.1798276901245117,0.0012132691997613484,0.0014474602687746866,0.0033794388974408463
3.3275630474090576,0.0011807007332550082,0.0014392896071528513,0.0033197294787403395
3.4823334217071533,0.0011479349980516708,0.0014312454003960458,0.003260717119552115
3.644138813018799,0.0011177343571058367,0.0014251083123770305,0.0032035599023829088
3.812979221343994,0.0010906235121837357,0.0014192116917070218,0.0031478843570805918
3.9888546466827393,0.001065257718465149,0.00141259753058382,0.0030944502246044
4.171765089035034,0.0010409074726440949,0.0014052637480929887,0.0030442122564216093
4.368745565414429,0.0010175201963723447,0.0013983365336099306,0.0029955080256710512
