Time (s),Position (m)
0.0025801658630371094,2.0436669767211477e-07
0.10529065132141113,0.0006639273295946572
0.20805573463439941,0.002624583580044135
0.31073904037475586,0.005880046888052373
0.413576602935791,0.010439270897448099
0.5162801742553711,0.016289635406875058
0.619056224822998,0.023441603197839653
0.7218525409698486,0.03189305291388905
0.8246119022369385,0.041638582980436344
0.9273803234100342,0.052681444200564975
1.030135154724121,0.06501869070610143
1.1328864097595215,0.07865140224581986
1.2356464862823486,0.0935818672012819
1.3383111953735352,0.10979396200828308
1.4411876201629639,0.1273394644847422
1.5439469814300537,0.14616482511970874
1.6467225551605225,0.16629266432503859
1.7494735717773438,0.18771523372721136
1.8522348403930664,0.2104394610941624
1.9549024105072021,0.23443984200922707
2.0575265884399414,0.2597250408243076
2.160133123397827,0.2863000445085879
2.2627322673797607,0.31416658290110766
2.3653547763824463,0.3433332037581678
2.4679200649261475,0.3737764152595329
2.5705044269561768,0.40551805470538
2.673074960708618,0.43854866360160605
2.775663137435913,0.4728786921882707
2.8782870769500732,0.5085146266179138
2.9809439182281494,0.5454567495005315
3.083550214767456,0.5836747204572661
3.1861534118652344,0.6231850019760463
3.2887580394744873,0.663989045647071
3.391389846801758,0.7060973529517003
3.4939873218536377,0.7494845619750029
3.5965688228607178,0.7941575461640965
3.6991934776306152,0.8401432442998298
3.80181622505188,0.8874232696354165
3.904449462890625,0.9360040876821397
4.007188081741333,0.9859332574109306
4.109880447387695,1.0371382261583193
4.215792655944824,1.0913076795984962
4.321764707565308,1.1468877428664295
4.427687883377075,1.2038209563627862
4.533480644226074,1.262060024693171
4.639417886734009,1.3217562297663736
4.7453272342681885,1.3828143495110772
4.851309537887573,1.445293585328434
4.957353115081787,1.50918824138728
5.063273668289185,1.5743805908022503
5.169240713119507,1.6409781369571588
5.275162935256958,1.7089205558148968
5.381100654602051,1.7781573092365952
5.486997842788696,1.848471208739818
5.592888355255127,1.9197852059401028
5.698820352554321,1.992091662654742
5.8047935962677,2.0651612114319184
5.910787105560303,2.1385556001875834
6.016734838485718,2.2117354656844093
6.12261438369751,2.28409478456023
6.228511810302734,2.355063766772666
6.3343682289123535,2.4241662662026107
6.440319538116455,2.491174084581099
6.546249866485596,2.5557683390765176
6.652188539505005,2.6178655346305795
6.758033752441406,2.6773007737314685
6.863970518112183,2.734022344002194
6.969914436340332,2.787837623064503
7.075815200805664,2.838590588857731
7.1817381381988525,2.8862011343394145
7.28764271736145,2.9305971219164175
7.393567800521851,2.9717387273056803
7.499429225921631,3.009444194642014
7.605315685272217,3.0437011579158355
7.711235523223877,3.0746818049016698
7.817223787307739,3.1024878609825874
7.923134088516235,3.127025228760312
8.02813982963562,3.1481069565431214
8.131080389022827,3.165607801351781
8.233768463134766,3.1799610431771
8.336452722549438,3.191311768048742
8.439140796661377,3.1996819477893084
8.54187798500061,3.204996884726298
8.644615411758423,3.2071671275011067
8.747312545776367,3.2060976384527264
8.849966287612915,3.2017604403704514
8.952963829040527,3.1944402978167785
9.055663585662842,3.1847640554982912
9.15836787223816,3.1732512223277043
9.261059045791626,3.160554473388556
9.36371636390686,3.147398721792383
9.46636962890625,3.1343219182285487
9.5690176486969,3.121714550616389
9.671765804290771,3.109931735932702
9.774524927139282,3.0992832326734794
9.87728500366211,3.08985824328735
9.980046033859253,3.081675310148441
