Tau (s),AD_gx (deg),AD_gy (deg),AD_gz (deg)
0.007035017013549805,0.015330773418269066,0.014683195524722482,0.015093022455569177
0.01407003402709961,0.015932477519873787,0.015187063416366256,0.015763047426728714
0.021105051040649414,0.01679804214163811,0.016044432746017544,0.016610129146130546
0.02814006805419922,0.017507450362813468,0.016655723954669244,0.017184715132762367
0.03517508506774902,0.018022117447459466,0.017085611234442858,0.01753391996048421
0.04221010208129883,0.01833203212810677,0.01738614137219036,0.01773024657131859
0.04924511909484863,0.01847028252461644,0.017564039524788185,0.017817468688634677
0.05628013610839844,0.018469824713232236,0.017627521563103418,0.017825436369505534
0.06331515312194824,0.018367292739624303,0.017604927880181774,0.017773423446270472
0.07035017013549805,0.018197553475333642,0.017518704131757695,0.017672552631555965
0.07738518714904785,0.017989353868592683,0.017375115788372916,0.01754118176717844
0.08442020416259766,0.017753614614005958,0.01718674139384796,0.01738911582234026
0.09145522117614746,0.017503980269308245,0.016969216357502353,0.017225541723574177
0.09849023818969727,0.017247594718580762,0.016735725794485075,0.01705485403831644
0.10552525520324707,0.016988685568100702,0.016497697226439546,0.01687924450116233
0.11256027221679688,0.0167316128392062,0.01625579370996288,0.01670068164425779
0.11959528923034668,0.016478863465026757,0.01600848845486856,0.016520564015618355
0.12663030624389648,0.01623365122991554,0.015759459623090156,0.01633743206976121
0.1336653232574463,0.015996026788550246,0.015514135399510976,0.016151805832724585
0.1407003402709961,0.015771546615656305,0.015276671652580669,0.015962856730364725
0.1477353572845459,0.015561333995312803,0.015050312823354138,0.015771771221503982
0.1547703742980957,0.015363897418461973,0.014835582799620654,0.015579284808269391
0.1618053913116455,0.015179241902457298,0.014630359163139378,0.015385108013236613
0.1688404083251953,0.01500634796513058,0.0144312547940762,0.015190725517492027
0.17587542533874512,0.014843263020197927,0.014235915069253305,0.014998851401407979
0.18994545936584473,0.014545432673504942,0.013860914935179167,0.014626295921688298
0.19698047637939453,0.014410205004939685,0.013680738814037887,0.014450380661048277
0.20401549339294434,0.014283347597597622,0.013505294460840343,0.014282664549552451
0.21105051040649414,0.014162586888640522,0.013334831414789763,0.014123378109619233
0.22512054443359375,0.01393420183115197,0.01300957375303997,0.013827493564963177
0.23215556144714355,0.013826840890925247,0.012854360184265553,0.013688620670654942
0.24622559547424316,0.01362443285107372,0.012558438098690583,0.013425610225791706
0.25326061248779297,0.013528898801134769,0.012416460828001472,0.013302485561142231
0.2673306465148926,0.013343341270169506,0.012142409314867797,0.013072988112092157
0.2814006805419922,0.013155078071878207,0.011883070185596057,0.012860453626656722
0.288435697555542,0.013058309612271479,0.011759881275628844,0.012759048687031802
0.3025057315826416,0.012860433575318774,0.011525384345096368,0.01256565644419698
0.3165757656097412,0.012657851966852079,0.01130594615214879,0.012385605149457813
0.3306457996368408,0.012450665877188932,0.011101369900074737,0.012221246173873452
0.35175085067749023,0.012142071562714744,0.010822434278191578,0.012004026754579839
0.36582088470458984,0.011939413132047175,0.010655174530476886,0.011872801863517395
0.37989091873168945,0.011741641851408047,0.010499541891213035,0.01174594788806925
0.40099596977233887,0.011450491992923183,0.01028861817340918,0.011558291706200175
0.4150660037994385,0.011260087133341012,0.010158931937780268,0.011434576083433895
0.4361710548400879,0.010984601740604658,0.009971346161162166,0.011248674011127302
0.4572761058807373,0.010719454049148553,0.009796105303319728,0.011066901673002973
0.4783811569213867,0.010464500687616046,0.009631166193711531,0.010896724323533741
0.49948620796203613,0.010222972838153006,0.009479635289663344,0.010737687866224492
0.5205912590026855,0.00999379697638543,0.009340957486069832,0.010576145348482143
0.5487313270568848,0.009708848354653554,0.009169013666632081,0.010356621250437027
0.5698363780975342,0.00951555735469755,0.009044586184049127,0.010196588023904388
0.5979764461517334,0.009275970117936534,0.008876572702972542,0.00999393687339953
0.6261165142059326,0.00905631574805149,0.008710806995092723,0.009801322985422141
0.6542565822601318,0.008865304078760385,0.00855378962508104,0.009617712049911627
0.682396650314331,0.00869393883303479,0.00840466598014351,0.009438537896076434
0.7175717353820801,0.008494819970264385,0.008229006104479138,0.009211452842174233
0.7527468204498291,0.008314107699544023,0.008066940189708424,0.008987256099355575
0.7808868885040283,0.008182085637846026,0.007942045479860988,0.008813852254512611
0.8230969905853271,0.00801260716680036,0.0077665623511191245,0.008565487394107589
0.8582720756530762,0.00789351008625456,0.007638751707544297,0.008366594499896128
0.900482177734375,0.007770704072521709,0.007496468550285528,0.008136423449783525
0.935657262802124,0.007685530256678962,0.007381450708538966,0.007946528083536006
0.9849023818969727,0.007581006885855519,0.007221748165905639,0.007682708965595716
1.0271124839782715,0.007500189012135379,0.0070829777112809775,0.007472554337169015
1.0763576030731201,0.0074052148192931405,0.0069240897773404884,0.007252794772126253
1.1256027221679688,0.007299596125739011,0.006772634762805043,0.007055865679250786
1.1748478412628174,0.0071947777759813515,0.0066301711717581075,0.006883629967303302
1.2311279773712158,0.00708399711403246,0.006485072960573447,0.006711746760564045
1.2874081134796143,0.006975054423661537,0.006353131700997389,0.0065557036667503645
1.3507232666015625,0.006856430693020505,0.006223028359617768,0.006385382033420685
1.407003402709961,0.006759403588787191,0.00612682355767591,0.006247593847901539
1.477353572845459,0.006652351061180255,0.006015679449215326,0.006098735654477246
1.5406687259674072,0.006558636039459002,0.005919076470900268,0.005975125816300326
1.6110188961029053,0.006449049075120973,0.005811082497864893,0.005856877144692572
1.6884040832519531,0.006317371937273843,0.005691281727707489,0.005744050463616237
1.765789270401001,0.006198082478224739,0.005574895397476998,0.005636325699571962
1.8502094745635986,0.00607557759999601,0.005466249073765335,0.005526432969341867
1.9346296787261963,0.005958150213050903,0.005388740837244801,0.005429103783483932
2.0260848999023438,0.005841665638734692,0.005331294668041828,0.005339100423312244
2.117540121078491,0.005747418518486608,0.005295008922424141,0.00525362682076323
2.2160303592681885,0.005680539367424217,0.0052561692871932976,0.005176350155720603
2.3145205974578857,0.005629586072782246,0.0052214640044940235,0.005092300205464043
2.4270808696746826,0.005568435778070682,0.005173329525034492,0.004990514788410088
2.5396411418914795,0.005505709562506053,0.005108039665064508,0.0048882705799375955
2.6522014141082764,0.005440713628227058,0.005031597269326172,0.004784240179401068
2.778831720352173,0.005376313210197578,0.004942637211532772,0.004669613879810739
2.9054620265960693,0.005313177461108868,0.004854729241876727,0.004562489155485789
3.0391273498535156,0.005250298431356975,0.004770518848792424,0.004473570534859181
3.1798276901245117,0.005197008980464311,0.004697835548546635,0.004395505453235218
3.3275630474090576,0.005160919285008269,0.004622111607115293,0.004304518562561335
3.4823334217071533,0.005116842089324011,0.004538366889721476,0.004214960208739815
3.644138813018799,0.005056899902616666,0.004450415806991876,0.004136712306527687
3.812979221343994,0.004994647894670534,0.004358201210785633,0.004069549925329091
3.9888546466827393,0.004925495909158583,0.004244342449161493,0.003995766250314415
4.171765089035034,0.004829747232988155,0.004116385598507636,0.003923605556100374
4.368745565414429,0.004729307270146933,0.004002709021947172,0.003836470613185403
4.565726041793823,0.0046317786810024415,0.003913215085696831,0.0037651491710370016
4.776776552200317,0.004546876180449539,0.003838849134914897,0.0037094906007630814
5.001897096633911,0.00449038633596387,0.0037870542313803253,0.0036628870815792838
