Time (s),Filtered Accel X (m/s^2),Position (m)
0.0057256221771240234,0.1426256913447374,1.168915571314493e-06
0.11167597770690918,0.14222116974801335,0.0008438150802769574
0.21764063835144043,0.14230367845239672,0.0032847659553605683
0.32358217239379883,0.14260784598929477,0.0073231411207660465
0.42964792251586914,0.14240954641969722,0.012968229841425942
0.5355994701385498,0.14248259087939866,0.02020751527707094
0.6415302753448486,0.14209679560835362,0.029043097709470084
0.7475028038024902,0.1425098286494485,0.03947986054969057
0.8535237312316895,0.14229018688954947,0.05152111976156032
0.9594740867614746,0.1425270065505688,0.06515345252451041
1.065537452697754,0.1423967302588249,0.08040178880335906
1.1700489521026611,0.14218598914234865,0.0969937022119057
1.2759313583374023,0.14265382042396382,0.11538889022950728
1.3818778991699219,0.14237857975973708,0.1353938934395099
1.4878439903259277,0.14241857225687318,0.15700206784703416
1.593796730041504,0.142420500013762,0.18020630205326527
1.6997647285461426,0.14244773156185825,0.20501310456989974
1.8057329654693604,0.14253895729951946,0.23141972439727257
1.9116957187652588,0.142576339398416,0.25942531038863526
2.0176169872283936,0.14231871615023328,0.2890190267314404
2.1236937046051025,0.14237509361961587,0.3202572919698696
2.228203058242798,0.1424794079823576,0.35260082757142086
2.3340651988983154,0.14244146434446417,0.38694916366712817
2.4399607181549072,0.14249625640293395,0.4229056568696208
2.545862913131714,0.14264310744625774,0.46046275923585156
2.6517860889434814,0.1425394323914027,0.49962685671428125
2.7577781677246094,0.1424578990114369,0.5404173056248825
2.8637335300445557,0.1425199822759473,0.5827936138065458
2.9696462154388428,0.14245705335575745,0.6267515424781972
3.0756359100341797,0.14265347558364957,0.6723419160974301
3.1815378665924072,0.1426325992643908,0.7194944938681042
3.287410020828247,0.1426899808048489,0.7682330029650634
3.393260955810547,0.14266308629145957,0.8185604264110921
3.4991543292999268,0.14252372423426335,0.8705071307933905
3.6050796508789062,0.1425881932499598,0.9240689789538999
3.7110884189605713,0.1423062452900775,0.9792738046196507
3.8169968128204346,0.14230462223667292,1.036024093410548
3.922894239425659,0.14243304674951338,1.0943647944460697
4.028810501098633,0.14262610165029496,1.154313761459275
4.134713649749756,0.1424165413543308,1.2158538962905394
4.240595102310181,0.14248758216064597,1.2789789887482346
4.346528053283691,0.1424330600943468,1.3437330087786137
4.45242714881897,0.14154891913402287,1.4100615957075373
4.558286190032959,0.14951695185857625,1.4779764123284949
4.664168834686279,0.15902213294628398,1.5475867530323335
4.7701051235198975,0.13018343536935095,1.6189089695770602
4.876007556915283,-0.036328839887512565,1.6912826880766052
4.9818642139434814,-0.3102552902927398,1.762917238177281
5.087770700454712,-0.11653312743705069,1.832417393601585
5.193639278411865,-0.24465494588950776,1.8996843028572656
5.299534559249878,-0.30497802743125924,1.9644149903014414
5.405418634414673,-0.2759197794399828,2.0259699462499383
5.511339902877808,-0.25150104910031246,2.08443845237518
5.617222785949707,-0.26365892210802855,2.139963092333326
5.723156213760376,-0.2632380908626182,2.192591464872203
5.829116106033325,-0.2605309647994236,2.2422842664961893
5.935356378555298,-0.3018937321790123,2.2890474946029054
6.04128885269165,-0.31316654783524456,2.332367313536238
6.14719557762146,-0.27569825605632836,2.3723003068389783
6.2530858516693115,-0.2334027409376569,2.4091490367074306
6.358979940414429,-0.07257106926066026,2.4437141733022116
6.464901685714722,0.05338501626638692,2.4773765354666835
6.570862293243408,0.182963010049785,2.5116608226333796
6.676800727844238,0.1558353155407437,2.5475517843537117
6.782735586166382,0.14190732367125225,2.5852274131346076
6.888706922531128,0.13783279440159357,2.624536999443004
6.9946043491363525,0.14233740701472078,2.665389462302113
7.100604772567749,0.140872133260137,2.7078634402818222
7.206031322479248,0.1427510448540794,2.75168680495508
7.311355829238892,0.1426848339818569,2.797046693574989
7.41729211807251,0.14269644191447292,2.8442669308459325
7.523199796676636,0.14748560257639165,2.8930885738621615
7.629056930541992,0.151627050608475,2.9435381744968563
7.735079050064087,0.20486352997939905,2.9959074544406556
7.840997695922852,0.07156145272512937,3.0500017325501454
7.946842432022095,-0.46543716942598135,3.1037298511072797
8.05269455909729,-0.5235136137378626,3.1535882688342025
8.158547163009644,-0.2502157362432875,3.198509315616329
8.264420509338379,-0.2093148530372151,3.239983636042918
8.370311260223389,-0.23082121885351548,3.278943029091075
8.476224660873413,-0.3948615529797852,3.31492202414575
8.582091093063354,-0.18677460040680494,3.3475014686148867
8.687997579574585,-0.23160429521027126,3.377289768099519
8.793885946273804,-0.16555524429515778,3.404786745525225
8.899781465530396,-0.19743733641971417,3.430154595470384
9.005730628967285,-0.35123422366034873,3.4529774031147444
9.11164665222168,-0.5345540198346246,3.471769574799177
9.217530012130737,-0.277484949994931,3.4857964787305593
9.323421716690063,0.1428007633705226,3.497170753250517
9.429311275482178,0.16312070216710128,3.5090247933550978
9.535203456878662,0.160958784660588,3.5226451802507888
9.641029596328735,0.14101901431139677,3.538010469516605
9.746715545654297,0.14002791842521556,3.5549845491777012
9.849786043167114,0.14225936349343257,3.5730536545997467
9.952513217926025,0.14248869474715237,3.592561024591236
10.05518627166748,0.14237114151147745,3.6135596797004355
10.157798051834106,0.14244634937189896,3.636045809330642
10.260391235351562,0.14255032277157603,3.6600273745658773
10.362977504730225,0.14250922011102246,3.6855071838610574
10.46558690071106,0.14261304096319324,3.712493384701269
10.568651676177979,0.14234824226341933,3.741109911022785
10.671709537506104,0.14252919377099343,3.771237621615532
10.77552056312561,0.1428013577488845,3.8031161864497434
10.878521203994751,0.14236134798874522,3.8362649599038883
10.981135368347168,0.14260951081787576,3.870793009680066
