time,ecg_signal
0.00011897087097167969,1.194915913929452
0.006098747253417969,0.034302477157411235
0.008458614349365234,0.030651096183192277
0.010976552963256836,0.030651096183192277
0.01332712173461914,0.03442287855421049
0.01582622528076172,0.03067016967179414
0.018183469772338867,0.030665401299643673
0.020702123641967773,0.0307256019980433
0.023078441619873047,0.030702952230328588
0.02589702606201172,0.030727390137599724
0.02827906608581543,0.030747059672720393
0.030635595321655273,0.03067016967179414
0.032976388931274414,0.030822757580609032
0.03544306755065918,0.030822161534090224
0.037801504135131836,0.030776861998660802
0.04028153419494629,0.030789975022074582
0.04265332221984863,0.030879978046414618
0.04522991180419922,0.030912164558430263
0.04772520065307617,0.03429532459918554
0.05027318000793457,0.03097534548942393
0.05292224884033203,0.030928257814438084
0.05557131767272949,0.030863884790406797
0.05792117118835449,0.030962828512528958
0.060331106185913086,0.030921105256212385
0.06269121170043945,0.03429830483177958
0.06534528732299805,0.03086984525559488
0.06772875785827637,0.03096878897771704
0.07010269165039062,0.030896071302422442
0.0724492073059082,0.03099203479195056
0.07483100891113281,0.03097534548942393
0.07718324661254883,0.031080845723252978
0.08218264579772949,0.03098845851283771
0.0845487117767334,0.031013492466627653
0.08694887161254883,0.031030181769154282
0.08929872512817383,0.036818389513300596
0.09165596961975098,0.03432751111120118
0.09415149688720703,0.03097534548942393
0.09667325019836426,0.031062368281169924
0.09914422035217285,0.031018856885296927
0.10160398483276367,0.031108859909636962
0.10416197776794434,0.030989054559356518
0.10671877861022949,0.031025413397003817
0.1092076301574707,0.03103077781567309
0.1116800308227539,0.03097534548942393
0.11413979530334473,0.03445923739185779
0.11667251586914062,0.031142834561209032
0.11916732788085938,0.031173828980187057
0.12153267860412598,0.03148436921648612
0.12388992309570312,0.031127933398238827
0.12630033493041992,0.031242374329849998
0.12872052192687988,0.031131509677351676
0.13115715980529785,0.031520728054133425
0.13350415229797363,0.031358007354498785
0.13592839241027832,0.031249526888075696
0.13831567764282227,0.031127933398238827
0.1407146453857422,0.03143132107631219
0.1431868076324463,0.031566623636081655
0.1457054615020752,0.03670335253517062
0.14814090728759766,0.03125846758585782
0.15061378479003906,0.03440559320516505
0.15304994583129883,0.03677726230350283
0.15567445755004883,0.036799316024698735
0.15825366973876953,0.034331683436832836
0.1607985496520996,0.03135264293582951
0.16333937644958496,0.03130495921432486
0.16576099395751953,0.03442705087984215
0.1682446002960205,0.03136933223835614
0.17067885398864746,0.0312936343304675
0.17304420471191406,0.03126144781845186
0.1754472255706787,0.03131389991210698
0.17781472206115723,0.05910874117717042
0.18018698692321777,0.18628122643008546
0.1825883388519287,0.31049374467059904
0.18526673316955566,0.46394711303080477
0.18770122528076172,0.5736852376085803
0.19018340110778809,0.703161442656689
0.19267773628234863,0.8404297638451772
0.19512104988098145,0.9744174449941451
0.19747233390808105,1.0774536225144413
0.19983553886413574,1.187589310120262
0.20221328735351562,1.2890692101799501
0.2045743465423584,1.4135624663308222
0.20723628997802734,1.504503071844944
0.2096860408782959,1.6016342165034076
0.21212148666381836,1.6935892931925407
0.2144913673400879,1.7578371474548755
0.2169036865234375,1.8517192425393156
0.21933269500732422,1.9251921087732444
0.221696138381958,2.0044507985652444
0.22407889366149902,2.0777448508435308
0.22646546363830566,2.148266094716322
0.22883319854736328,2.206431294254219
0.23120856285095215,2.26579991171359
0.23354864120483398,2.342490833102564
0.23608088493347168,2.4079570064493425
0.23845839500427246,2.463308270371946
0.2410888671875,2.5391373084947237
0.243788480758667,2.6061031348828236
0.2463374137878418,2.639814929940096
0.24870657920837402,2.671476921019187
0.2510697841644287,2.6998052239185837
0.2534031867980957,2.721130576268503
0.2557523250579834,2.7396449732357233
0.2581460475921631,2.7716228689697826
0.26058411598205566,2.7998015641929586
0.2629835605621338,2.794647549944824
0.2653999328613281,2.8088900815117457
0.2677597999572754,2.819391825126627
0.2702789306640625,2.8121939673654994
0.27262234687805176,2.807367182656191
0.2751600742340088,2.799799776053402
0.27753210067749023,2.7885946975463267
0.28003907203674316,2.7977565285869277
0.28238582611083984,2.8361437125377313
0.28488707542419434,2.852028948310488
0.2872283458709717,2.8091058503515542
0.28977060317993164,2.8520498099386464
0.29326415061950684,2.8401264953764076
0.295698881149292,2.8102609885050045
0.2981595993041992,2.809902764547201
0.3005685806274414,2.8076944121950165
0.30301499366760254,2.773681613645746
0.30539417266845703,2.762089700947964
0.3077735900878906,2.7427640846686465
0.31014537811279297,2.7236649660664756
0.3125894069671631,2.7131936208240535
