Time (s),Comp Pitch Angle
0.0025191307067871094,-0.23584106284656656
0.10516905784606934,-0.28650246186851075
0.2078688144683838,-0.23176456247426633
0.31055736541748047,-0.2554970398545965
0.41323041915893555,-0.24568881990780184
0.5160415172576904,-0.23773356598925469
0.618710994720459,-0.27167072176542967
0.721416711807251,-0.3130848106046413
0.8241875171661377,-0.2823897998391088
0.926933765411377,-0.25150402076356254
1.0296862125396729,-0.2746362430822846
1.132455825805664,-0.21930569992539867
1.2351768016815186,-0.2336824800605115
1.3381226062774658,-0.24509959953500954
1.4407975673675537,-0.26197044402503794
1.5434720516204834,-0.26200830766794203
1.6462271213531494,-0.22204335687344393
1.7490179538726807,-0.23921208630783108
1.8517515659332275,-0.29129572964988776
1.9545230865478516,-0.28574316373992414
2.057419776916504,-0.29351502403955787
2.1602838039398193,-0.24417568394935096
2.2630391120910645,-0.2828139972989235
2.3657193183898926,-0.29076652949334586
2.4683735370635986,-0.30034268249683016
2.5710864067077637,-0.280571023704687
2.675673007965088,-0.2761822799165534
2.7784388065338135,-0.26179652258013975
2.881124258041382,-0.25152533938763955
2.9838104248046875,-0.26555751367448194
3.086569309234619,-0.2668358334492048
3.1892337799072266,-0.2778815117794666
3.2919251918792725,-0.2676190851738641
3.394606113433838,-0.2896645151293441
3.4972524642944336,-0.2774662765628765
3.5999135971069336,-0.28771870095765767
3.702617645263672,-0.32660793951411893
3.8053884506225586,-0.3062247457669295
3.9081127643585205,-0.2982284678784013
4.0107643604278564,-0.29217425924244833
4.1133644580841064,-0.36573921470625476
4.215989112854004,-0.7482975522659672
4.318659782409668,1.4466469814357539
4.421283483505249,1.4011775816600436
4.5238847732543945,-0.7619428043739467
4.6265175342559814,2.3853185500480865
4.729140758514404,-1.745658025956967
4.831808090209961,3.8149468723087803
4.934515953063965,-0.9332351470262126
5.03728985786438,2.1499198793727783
5.140046119689941,1.8252141991636868
5.2427544593811035,-0.8949407693465985
5.345669507980347,2.9311976378593325
5.44832968711853,-0.9454846553609685
5.551069021224976,3.7678962674707392
5.653829336166382,-1.6788427415523848
5.756669521331787,3.850358766016516
5.8594114780426025,-0.8378236198710747
5.962130069732666,4.29193788322757
6.064882040023804,0.6032714553951348
6.167649030685425,2.032262639477599
6.270375967025757,2.8572639009538183
6.37312126159668,-0.918624033687834
6.4759299755096436,2.983605670830954
6.578663110733032,-1.2717105929396957
6.681386232376099,2.945479639781575
6.784219741821289,-1.3130685907115724
6.886932373046875,3.952164928744229
6.98969578742981,-1.677314490447769
7.092501163482666,4.278045474836929
7.195209980010986,-1.5883289403597094
7.297976016998291,4.5115656831462045
7.400729417800903,-1.5353973497183886
7.5034730434417725,4.7262708948961
7.606234312057495,-0.6562219054160033
7.712115049362183,4.187298934892706
7.818126440048218,-0.12103357113603497
7.924079179763794,2.3366609157139098
8.030074834823608,2.8902758422526404
8.136006593704224,0.6243065048981465
8.2418851852417,0.3564892456201487
8.34777021408081,0.6709795928103188
8.453669786453247,0.6270118431235137
8.559596538543701,0.6212920424136403
8.665595531463623,0.6428845315592251
8.770505905151367,0.5555116520193081
8.876537799835205,0.5839311997819552
8.982563495635986,0.621379198464927
9.08850622177124,0.5869031566164534
9.194566249847412,0.5787884691441361
9.300601482391357,0.5979650446738366
9.405895709991455,0.6056276886329285
9.51181411743164,0.5906228443929508
9.61772108078003,0.5934668228376876
9.72357988357544,0.6158932326030201
9.829561471939087,0.6481336476805996
9.935442209243774,0.6947241153288733
10.041297912597656,1.0193911536381188
10.147143125534058,2.966711743300152
10.253113746643066,5.558745598877955
10.35901951789856,8.457962591029972
10.464898586273193,10.781103345090798
10.570825576782227,14.693603933051975
10.67668890953064,14.35260015782762
10.782657861709595,18.13122325018898
10.88852834701538,21.666125477542305
10.99452543258667,25.28819273998272
11.100436210632324,29.614989135630452
11.206404209136963,34.172919559560235
11.312268733978271,38.50718632200048
11.41823959350586,41.98414707466876
11.524102687835693,44.7988784645678
11.630008220672607,47.56535275215821
11.735882997512817,50.47965677783044
11.841876745223999,52.00723887171655
11.947781801223755,52.52187744840309
12.053714036941528,53.79883062725388
12.159611940383911,55.093880450002246
12.265437841415405,55.471375202914
12.371283531188965,56.41322535576375
12.476866960525513,56.89848541949444
12.581593990325928,57.2212963788908
12.687722206115723,57.97217048738452
12.79334306716919,57.83844570031208
12.89872145652771,57.45733061445346
13.00465178489685,57.678648019190376
13.110587120056152,57.519511250611295
13.21649169921875,57.41076158461081
13.322445154190063,57.51046359382462
13.428394317626953,57.739736753374515
13.534358739852905,57.97392550218748
13.640260219573975,58.29291180997539
13.74620246887207,58.54292791657369
