t,frame,x_meas,y_meas,major_sigma,minor_sigma,theta,strength_sum,strength_max,bg_std,snr_proxy,xcor_r0_c0,xcor_r0_c1,xcor_r0_c2,xcor_r0_c3,xcor_r0_c4,xcor_r1_c0,xcor_r1_c1,xcor_r1_c2,xcor_r1_c3,xcor_r1_c4,xcor_r2_c0,xcor_r2_c1,xcor_r2_c2,xcor_r2_c3,xcor_r2_c4,xcor_r3_c0,xcor_r3_c1,xcor_r3_c2,xcor_r3_c3,xcor_r3_c4,xcor_r4_c0,xcor_r4_c1,xcor_r4_c2,xcor_r4_c3,xcor_r4_c4,xcor_r5_c0,xcor_r5_c1,xcor_r5_c2,xcor_r5_c3,xcor_r5_c4,xcor_r6_c0,xcor_r6_c1,xcor_r6_c2,xcor_r6_c3,xcor_r6_c4
1772328222.977614,10,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2009198905134075,-1.2263984950063818,-1.1746211260105528,-1.1520345392268356,-1.2300474917945257,-1.2215240265755685,-1.223501708924974,-1.1977989909409277,-1.1649890142666126,-1.1841864805443865,-1.2779636714415152,-1.2352032941822162,-1.223989274977359,-1.1645920472850864,-1.238055972821232,-1.238808183527968,-1.2203295493518769,-1.212837244610458,-1.2072427519849245,-1.2768693300329834,-1.2727804509139593,-1.1661060054428591,-1.248524933877579,-1.1804886079417005,-1.1594720076885239,-1.2338687460266047,-1.1860288603340225,-1.1859203798675995,-1.1655737359015634,-1.2345196288251432,-1.290033017400863,-1.280049238210826,-1.2243796854471791,-1.236592678617558,-1.1752356499714436
1772328223.0592797,11,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2442411475469046,-1.199069166072508,-1.154571909257402,-1.1858726961460948,-1.2198163532991833,-1.233268527182165,-1.1895401703763213,-1.223532703343952,-1.171242734341948,-1.1916227569130373,-1.1959250206857948,-1.2077493915259114,-1.2141819255568893,-1.2212188507579387,-1.2198992037652976,-1.2440539889399989,-1.2140227811363675,-1.176096341144603,-1.2314583339045444,-1.2239612607909751,-1.2345929425469568,-1.2444014840604645,-1.2071151980298995,-1.2019319775023436,-1.2005849123698373,-1.176677486500441,-1.1768610688282335,-1.209393287824784,-1.2211878563389607,-1.2485261259706169,-1.255207211399938,-1.2325157204289106,-1.2245632677749714,-1.2317062892563686,-1.1646570163556362
1772328223.1420367,12,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2206257844717245,-1.2272919687380752,-1.1899389254974042,-1.2414194633268667,-1.217057850010139,-1.248181015036227,-1.2235750226467874,-1.2189485095677983,-1.1547578757712702,-1.2228561905451047,-1.2010241986541987,-1.211676742038338,-1.1736060587890218,-1.138873236045032,-1.2592150281924042,-1.2189628146842497,-1.2610031677488285,-1.2582768509717996,-1.1546601241421854,-1.2045420652082046,-1.2721236076502325,-1.1874492391883424,-1.1786396716403575,-1.2107045901661624,-1.213409449268514,-1.223601248693615,-1.2375511214198016,-1.2038542275255,-1.1842586021731623,-1.2180913946737522,-1.2828762868495325,-1.2387020872476207,-1.2089498292147909,-1.2202437186531685,-1.2015457393581557
1772328223.2232695,13,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.1884929166427756,-1.1898566710778087,-1.237919478168425,-1.1824025133135934,-1.2421061089165337,-1.2598009419203922,-1.2541504209220906,-1.227081564316936,-1.2491877376064937,-1.1665244300990623,-1.1831732014624126,-1.239600925397983,-1.203273082169662,-1.1913497676074232,-1.223940399162817,-1.2379582211921476,-1.2438400082397467,-1.2559802837348317,-1.2368352695507128,-1.2121458306486403,-1.2459446484976584,-1.212880756006331,-1.1669827898720257,-1.2245680361471218,-1.1953462595160322,-1.209813500620545,-1.2477578220078733,-1.205821181037567,-1.2403549242442755,-1.1895658003766303,-1.2753124565258565,-1.2583430121353871,-1.1808331228295716,-1.1820585944722413,-1.1848576289245645
1772328223.304998,14,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2170524855914695,-1.2232275275263222,-1.2090451966578004,-1.2169463893111216,-1.224514988006948,-1.2347556632465917,-1.2029172423979333,-1.2303556478447493,-1.2185646556096859,-1.188998364090724,-1.2323178329846658,-1.2235261468322451,-1.2050868517263953,-1.2032999042630084,-1.1971415516306825,-1.2357582134912266,-1.1695541345541642,-1.2221731212345508,-1.2274302515304387,-1.1641956763500787,-1.2058664805729964,-1.223133948222869,-1.1926890841351847,-1.1618520214381252,-1.233098653924305,-1.2239487438140801,-1.2400920677294809,-1.2443228059199816,-1.2027795556520886,-1.1910493601619438,-1.2229837445001297,-1.1592854451281371,-1.214950229519633,-1.1675430735997057,-1.2853695494377069
1772328223.3866222,15,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2329770604344676,-1.2401868391259714,-1.2177981397864985,-1.1988915442099026,-1.19880809769727,-1.2937839381437217,-1.225052621966913,-1.1893780457232057,-1.2108559859819397,-1.1893792378162436,-1.2399347114485155,-1.2406344700615963,-1.2112994445919332,-1.1639566616960368,-1.248043328290382,-1.285132322923221,-1.2596263002903811,-1.235501913488139,-1.178805968619105,-1.2146188276551757,-1.2159921188345097,-1.2308491743623224,-1.1895407664228403,-1.193555735773532,-1.2441028647545413,-1.2612839056591876,-1.205644155221481,-1.203798795199251,-1.1741061418183025,-1.1640961365814377,-1.1820854165655867,-1.19715228046802,-1.1478723463859972,-1.1654283005509734,-1.2413109828604443
1772328223.4680035,16,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.279047880059227,-1.2323166408916282,-1.19704260790856,-1.200529480043588,-1.211339379708693,-1.2472869452580144,-1.1865748389452508,-1.1725784745905972,-1.2051702982390284,-1.2310041464572128,-1.2235064772971245,-1.1863548977798106,-1.2179668209513212,-1.2330372611328673,-1.2315423764636964,-1.2220467593725632,-1.2383986995695468,-1.2215055491334854,-1.1937905781019427,-1.2037123684540236,-1.2326057234532501,-1.2235923079958329,-1.2101800692296112,-1.1744220464732706,-1.2241275577697228,-1.2665559371180453,-1.2550868100031387,-1.2113012327314892,-1.2046946531170195,-1.2109233392385648,-1.2208957935447446,-1.1584241579084589,-1.1901147592204522,-1.1681671343048978,-1.2595303368008537
1772328223.5490937,17,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2137867467149195,-1.2348903697598421,-1.2378145739811146,-1.2181426546743697,-1.1783386681483592,-1.2178708574617931,-1.1853982431171235,-1.1780609104705948,-1.1942256920606726,-1.2132026211264877,-1.252626926020017,-1.2581618139936699,-1.2103457701618396,-1.2211795116876973,-1.2105543864434227,-1.221245672851285,-1.2253512412728358,-1.1977244851260767,-1.1947907441605028,-1.2269188436173015,-1.2596870970352998,-1.2623311593927329,-1.2201799416756562,-1.1761726350990105,-1.192335032503013,-1.240809707738126,-1.2564654656011416,-1.20376422450116,-1.2258930475584326,-1.1927027932051177,-1.1858768684717265,-1.2414260198385736,-1.2372930332771577,-1.1863787396405618,-1.2176556846685034
1772328223.6303241,18,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.26743391364025,-1.2224002149582163,-1.1923701992476228,-1.2092657338697594,-1.1980517146649023,-1.206486368952557,-1.2333370725318278,-1.1900307166613007,-1.185996673822007,-1.2539972369667571,-1.257020980956671,-1.2398035812143777,-1.1685831747750257,-1.189631961540218,-1.1733205525065131,-1.1866821273186363,-1.2413789321635877,-1.2038101200831082,-1.2179447672301253,-1.2663771231624028,-1.2251318961539144,-1.2592662881930212,-1.2127508178652309,-1.2318052329784905,-1.2033833507756415,-1.2444443994098182,-1.1992795704936472,-1.180530331198017,-1.1838383893774025,-1.2321527280989562,-1.2492664157469764,-1.2582881758556574,-1.2121947064631828,-1.2091799031710513,-1.1628885463343324
1772328223.7115302,19,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2272091182719609,-1.2388201044583442,-1.1868734582511737,-1.1967702146494648,-1.2185354493302645,-1.236940769784542,-1.245526223841455,-1.2447656684834558,-1.185698650562603,-1.2403489637790874,-1.2368620916440594,-1.2604750705331642,-1.234169153472084,-1.1881507859409797,-1.2144817369558496,-1.2082518587412667,-1.2178041002516866,-1.209083939681523,-1.1997951507324165,-1.2210477854070412,-1.2614627196148294,-1.2416632463530592,-1.196605705810274,-1.2545640772061435,-1.19626238301544,-1.1969663139541526,-1.194521331134001,-1.1781872723325817,-1.2031795028662091,-1.2618018700840317,-1.274702104890598,-1.2877686366759105,-1.2186606190992146,-1.1765082092890993,-1.2170954009408232
1772328223.7925484,20,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2132461325223605,-1.171463271553907,-1.2021870854123935,-1.2094397794532514,-1.2211556698269452,-1.244034915451397,-1.2371505781591625,-1.2059380061552534,-1.1663438280038636,-1.2020577433178121,-1.219763901205528,-1.2082816610672071,-1.1844696026408204,-1.2027336600701406,-1.2312568701811872,-1.2291456734115687,-1.2158097285997544,-1.207449580126951,-1.1782754872173657,-1.2225247886806476,-1.239673047026759,-1.2284840617756916,-1.2207283044729595,-1.2467493112980494,-1.2494148313301596,-1.1998899221289068,-1.2268896373378797,-1.2000818491079632,-1.1690552436179213,-1.2269826205948142,-1.2837226729062396,-1.2720163192768483,-1.2601061177380222,-1.2431986621855091,-1.1715562548108405
